[INFO] 2025-06-12 17:36:07,221 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-12 17:36:20,072 lis_skins_api: Data successfully received (update: 2025-06-12)
[INFO] 2025-06-12 17:36:32,590 lis_skins_api: Raw data saved to data/lis-skins/snapshot/cs_market/latest/lis_skins_latest.json
[INFO] 2025-06-12 17:43:29,434 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-12 17:43:42,308 lis_skins_api: Data successfully received (update: 2025-06-12)
[ERROR] 2025-06-12 17:43:42,308 lis_skins_api: Unexpected error: type object 'datetime.datetime' has no attribute 'datetime'
[INFO] 2025-06-12 17:45:05,140 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-12 17:45:18,832 lis_skins_api: Data successfully received (update: 2025-06-12)
[INFO] 2025-06-12 17:45:32,172 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-12_17-45-18.json
[INFO] 2025-06-12 18:07:32,975 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-12 18:07:46,438 lis_skins_api: Data successfully received (update: 2025-06-12)
[INFO] 2025-06-12 18:07:59,046 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-12_18-07-46.json
[INFO] 2025-06-12 18:28:13,181 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-12 18:28:25,658 lis_skins_api: Data successfully received (update: 2025-06-12)
[INFO] 2025-06-12 18:28:38,260 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-12_18-28-25.json
[INFO] 2025-06-12 18:31:26,063 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-12 18:31:38,561 lis_skins_api: Data successfully received (update: 2025-06-12)
[INFO] 2025-06-12 18:31:51,053 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-12_18-31-38.json
[INFO] 2025-06-12 18:34:59,703 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-12 18:35:11,567 lis_skins_api: Data successfully received (update: 2025-06-12)
[INFO] 2025-06-12 18:35:24,242 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-12_18-35-11.json
[INFO] 2025-06-12 18:42:03,073 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-12 18:42:16,022 lis_skins_api: Data successfully received (update: 2025-06-12)
[INFO] 2025-06-12 18:42:28,611 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-12_18-42-16.json
[INFO] 2025-06-12 18:44:18,216 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-12 18:44:30,279 lis_skins_api: Data successfully received (update: 2025-06-12)
[INFO] 2025-06-12 18:44:42,878 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-12_18-44-30.json
[INFO] 2025-06-13 11:48:50,753 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-13 11:49:02,714 lis_skins_api: Data successfully received (update: 2025-06-13)
[INFO] 2025-06-13 11:49:15,960 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-13_11-49-02.json
[INFO] 2025-06-13 11:49:47,901 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-13 11:49:59,862 lis_skins_api: Data successfully received (update: 2025-06-13)
[INFO] 2025-06-13 11:50:12,606 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-13_11-49-59.json
[INFO] 2025-06-13 11:55:57,204 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-13 11:56:09,618 lis_skins_api: Data successfully received (update: 2025-06-13)
[INFO] 2025-06-13 11:56:22,668 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-13_11-56-09.json
[INFO] 2025-06-13 12:21:09,611 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-13 12:21:23,376 lis_skins_api: Data successfully received (update: 2025-06-13)
[INFO] 2025-06-13 12:21:36,515 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-13_12-21-23.json
[INFO] 2025-06-13 13:48:05,352 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-13 13:48:16,992 lis_skins_api: Data successfully received (update: 2025-06-13)
[INFO] 2025-06-13 13:48:29,617 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-13_13-48-16.json
[INFO] 2025-06-13 13:51:53,468 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-13 13:52:05,284 lis_skins_api: Data successfully received (update: 2025-06-13)
[INFO] 2025-06-13 13:52:18,145 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-13_13-52-05.json
[INFO] 2025-06-13 13:53:25,475 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-13 13:53:39,029 lis_skins_api: Data successfully received (update: 2025-06-13)
[INFO] 2025-06-13 13:53:51,753 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-13_13-53-39.json
[INFO] 2025-06-13 13:56:30,444 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-13 13:56:42,076 lis_skins_api: Data successfully received (update: 2025-06-13)
[INFO] 2025-06-13 13:56:54,879 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-13_13-56-42.json
[INFO] 2025-06-13 14:27:34,992 lis_skins_api: Downloading data from Lis-Skins...
[INFO] 2025-06-13 14:27:47,465 lis_skins_api: Data successfully received (update: 2025-06-13)
[INFO] 2025-06-13 14:28:00,610 lis_skins_api: Raw data saved to data/lis-skins/items/lis_skins_2025-06-13_14-27-47.json
[INFO] 2025-06-13 14:48:19,398 lis_skins_api: Downloading data from Lis-Skins...
